,X.1,Title,Studio,calWeeklyGross,totTheatreCount,totGross,totBudget,WeeksOn,startYear,startWeek,X,Search,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
765,765,Falcon Rising,Free,13500,10,13500,         NA,1,2014,36,663,Falcon Rising,NA,R,27/11/2014,103 min,"Action, Adventure",Ernie Barbarash,Y.T. Parazi,"Michael Jai White, Neal McDonough, Jimmy Navarro, Millie Ruperto","Chapman is an ex-marine in Brazil's slums, battling the yakuza outfit who attacked his sister and left her for dead.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA1OTkyMzUyN15BMl5BanBnXkFtZTgwNjI0MTUzMjE@._V1_SX300.jpg,58,43,49,6271,tt2295722,movie,27/10/2014,Freestyle Releasing,http://www.moonstonefilms.com/article.html?aid=216
766,766,Fall in Love Like a Star,CL,223800,71,223800,         NA,2,2015,49,664,Fall in Love Like a Star,NA,N/A,4/12/2015,98 min,Romance,Tony Chan,N/A,"Yi Feng Li, Mi Yang, Shu Chen, Yao Qing Wang",A superstar musician falls in love with his manager and struggles to choose between his career and true love.,Mandarin,China,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZDNmMDViNDEtODY5ZC00YTc5LWEwMzktYzQ0NWQ4ZGNmNTg2XkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_SX300.jpg,53,NA,NA,52,tt4892714,movie,NA,N/A,N/A
767,767,False Confessions,BWP,30400,15,30400,         NA,8,2017,28,665,False Confessions,NA,N/A,9/03/2017,82 min,"Comedy, Drama","Luc Bondy, Marie-Louise Bischofberger(co-director)","Luc Bondy, Marivaux (play), Geoffrey Layton (collaborating writer)","Isabelle Huppert, Louis Garrel, Bulle Ogier, Yves Jacques","Luc Bondys final feature film as director draws talent from both stage and screen to bring Marivauxs play into 21st century Paris. Isabelle Huppert commands the screen as Araminte, the ...",French,France,N/A,https://ia.media-imdb.com/images/M/MV5BOGQzYjg0ZGItNjdhNS00NTJmLTgxOTUtMjEyMTM4Y2VmMTlkXkEyXkFqcGdeQXVyNTExMTg3MDg@._V1_SX300.jpg,52,NA,41,163,tt5925968,movie,NA,N/A,N/A
768,768,Fan,Yash,1794400,307,1794400,1567000,1,2016,16,666,Fan,NA,NOT RATED,15/04/2016,142 min,"Action, Drama, Thriller",Maneesh Sharma,"Maneesh Sharma (story), Habib Faisal (screenplay), Habib Faisal (dialogue), Sharat Katariya (dialogue)","Shah Rukh Khan, Sayani Gupta, Puja Panchkoty, Deepika Amin",Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,Hindi,India,1 win & 1 nomination.,https://ia.media-imdb.com/images/M/MV5BYTk1MjNlMTYtYmE5OS00ZjgzLTg1MjktYzY2YjdhMDQzNzA4XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_SX300.jpg,72,78,NA,35913,tt3495026,movie,NA,Yash Raj Films,N/A
769,769,Fanny,KL,10100,6,9800,         NA,7,2014,30,667,Fanny,NA,NOT RATED,28/06/1961,134 min,"Drama, Romance",Joshua Logan,"S.N. Behrman (play), Joshua Logan (play), Marcel Pagnol (from the Marseilles trilogy by), Julius J. Epstein (screenplay)","Leslie Caron, Horst Buchholz, Maurice Chevalier, Charles Boyer","A love triangle between a young woman, a rich 60-something man and an aspiring sailor set in early 20th century Marseilles.",English,USA,Nominated for 5 Oscars. Another 1 win & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMTg2NzA0MjM1MF5BMl5BanBnXkFtZTcwNTc4MTMyMQ@@._V1_SX300.jpg,70,NA,NA,1691,tt0054866,movie,17/06/2008,Westchester Films,N/A
770,770,Fantastic Beasts and Where To Find Them,WB,239140000,23567,245421800,18000000,9,2016,47,NA,NA,NA,PG-13,18/11/2016,133 min,"Adventure, Family, Fantasy",David Yates,J.K. Rowling,"Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,"English, Khmer","UK, USA",Won 1 Oscar. Another 14 wins & 51 nominations.,https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_SX300.jpg,74,74,66,309637,tt3183660,movie,28/03/2017,Warner Bros. Pictures,http://www.fantasticbeasts.com/
771,771,Fantastic Four,Fox,63036000,14869,62674400,12000000,9,2015,32,669,Fantastic Four,NA,PG-13,8/07/2005,106 min,"Action, Adventure, Fantasy",Tim Story,"Mark Frost, Michael France, Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",English,"USA, Germany",3 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BNWU1ZjFjMTctYjA5ZC00YTBkLTkzZjUtZWEyMjgxY2MxYWM4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,57,27,40,288477,tt0120667,movie,6/12/2005,20th Century Fox,http://www.fantasticfourmovie.com/
772,772,Far from Men,Trib.,5700,3,5700,         NA,2,2015,18,670,Far from Men,NA,PG-13,14/04/2015,101 min,"Drama, War, Western",David Oelhoffen,"Albert Camus (short story: L'Hôte), Antoine Lacomblez (collaboration), David Oelhoffen (screenplay)","Viggo Mortensen, Reda Kateb, Djemel Barek, Vincent Martin","Algeria, 1954. Two very different men thrown together by a world in turmoil are forced to flee across the Atlas mountains. Daru, the reclusive teacher, has to escort Mohamed, a villager accused of murder.","French, Arabic, Spanish",France,9 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTA1MTgxOTkwMzdeQTJeQWpwZ15BbWU4MDIzODk1NDUx._V1_SX300.jpg,72,83,74,5374,tt2936180,movie,10/11/2015,Tribeca Film,http://www.farfrommen.com/
773,773,Far from the Madding Crowd,FoxS,13423300,3888,13749400,         NA,9,2015,18,671,Far from the Madding Crowd,NA,PG-13,22/05/2015,119 min,"Drama, Romance",Thomas Vinterberg,"Thomas Hardy (based on the novel by), David Nicholls (screenplay by)","Carey Mulligan, Matthias Schoenaerts, Tilly Vosburgh, Mark Wingett","In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.",English,"UK, USA",2 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BNzI4NzUwNDgwN15BMl5BanBnXkFtZTgwNTI3MjMwNTE@._V1_SX300.jpg,71,85,71,38715,tt2935476,movie,4/08/2015,20th Century Fox,http://www.facebook.com/maddingcrowdmovie
774,774,Far from the Tree,IFC,103900,30,103900,         NA,4,2018,29,672,Far from the Tree,NA,N/A,1/02/2011,N/A,Comedy,N/A,N/A,"Robin Shelby, Joanna Churgin",N/A,English,USA,N/A,N/A,78,NA,NA,8,tt1863693,series,NA,NA,NA
775,775,Farewell to Hollywood,ICir,9800,10,9400,         NA,8,2015,8,673,Farewell to Hollywood,NA,N/A,1/09/2013,90 min,"Documentary, Drama, Romance","Henry Corra, Regina Nicholson","Henry Corra, Kimberley Hassett, Regina Nicholson",N/A,"A nonfiction fairytale about love, death, art and the letting go.",English,USA,1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTEzOTA0NTg5NjheQTJeQWpwZ15BbWU4MDc2MjEyNzMx._V1_SX300.jpg,72,78,63,36,tt2938740,movie,NA,Internationakl Film Circuit,http://farewelltohollywood.com/
776,776,"Farewell, Herr Schwarz",KL,5100,2,5100,         NA,1,2015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
777,777,Father Figures,WB,17691600,8014,17711400,         NA,8,2017,51,675,Father Figures,NA,R,22/12/2017,113 min,Comedy,Lawrence Sher,Justin Malen,"Robert Jon Mello, Ed Helms, Retta, Zachary Haven","Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA3MDQ4MDI1M15BMl5BanBnXkFtZTgwMDYxMjcxNDM@._V1_SX300.jpg,54,19,22,8659,tt1966359,movie,3/04/2018,Warner Bros. Pictures,http://www.fatherfigures.movie/home
778,778,Fatima,KL,54500,15,52800,         NA,9,2016,35,676,Fatima,NA,NOT RATED,7/10/2015,79 min,"Drama, Family",Philippe Faucon,"Philippe Faucon (scenario), Aziza Boudjellal (scenario consultant), Mustapha Kharmoudi (scenario consultant), Yasmina Nini-Faucon (scenario consultant), Fatima Elayoubi (books)","Soria Zeroual, Zita Hanrot, Kenza Noah Aïche, Chawki Amari","Fatima lives on her own with two daughters to support: 15-year old Souad, a teenager in revolt, and 18-year old Nesrine, who is starting medical school. Fatima speaks French poorly and is ...","French, Arabic","France, Canada",5 wins & 1 nomination.,https://ia.media-imdb.com/images/M/MV5BMjExOTAyMTA0M15BMl5BanBnXkFtZTgwMzkzMDI4OTE@._V1_SX300.jpg,65,88,69,959,tt4466544,movie,NA,N/A,N/A
779,779,Fed Up,RTWC,125000,109,1765500,         NA,9,2014,26,677,Fed Up,NA,PG,19/01/2014,92 min,Documentary,Stephanie Soechtig,"Mark Monroe, Stephanie Soechtig","Katie Couric, Bill Clinton, Michael Bloomberg, Mark Hyman",An examination of America's obesity epidemic and the food industry's role in aggravating it.,English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMjExMzk0NTU3NF5BMl5BanBnXkFtZTgwMjg5NTg1MTE@._V1_SX300.jpg,77,80,71,10155,tt2381335,movie,7/09/2014,Radius-TWC,http://fedupmovie.com/
780,780,Felicite,Strand,12600,21,12600,         NA,8,2017,43,NA,NA,NA,N/A,29/03/2017,129 min,"Drama, Music",Alain Gomis,"Alain Gomis (screenplay), Olivier Loustau (collaboration), Delphine Zingg (collaboration)","Véro Tshanda Beya Mputu, Gaetan Claudia, Papi Mpaka, Nadine Ndebo","Félicité sings in a bar in Kinshasa. When her 14-year-old son has a motorcycle accident, she goes on a frantic search through the streets of Kinshasa, a world of music and dreams. And her path crosses that of Tabu.","Lingala, French","France, Belgium, Senegal, Germany, Lebanon",6 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDc0NjRmZTktMTM2MS00ODBiLWFjNDktMjk1ZWQyOWE0OGZmXkEyXkFqcGdeQXVyNTQwMDA5NTg@._V1_SX300.jpg,65,NA,75,425,tt5980798,movie,NA,N/A,N/A
781,781,Felix and Meira,Osci.,480600,203,497900,         NA,9,2015,16,NA,NA,NA,R,17/04/2015,105 min,"Drama, Romance",Maxime Giroux,"Maxime Giroux, Alexandre Laferrière","Martin Dubreuil, Hadas Yaron, Luzer Twersky, Melissa Weisz","In Félix and Meira, an unusual romance blossoms between two lost souls who inhabit the same neighborhood but vastly different worlds.","French, Yiddish, English, Spanish, Hebrew, Italian",Canada,15 wins & 14 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNjY3Mjk3OV5BMl5BanBnXkFtZTgwODYzODE1NDE@._V1_SX300.jpg,68,78,66,1128,tt3685218,movie,29/09/2015,Oscilloscope Laboratories,http://www.metafilms.ca/eng/index.php?/projets/felix-and-meira/
782,782,Fences,Par.,43554200,10794,60488700,2400000,9,2016,51,679,Fences,NA,PG-13,25/12/2016,139 min,Drama,Denzel Washington,"August Wilson (screenplay by), August Wilson (based upon his play ""Fences"")","Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo","A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",English,"USA, Canada",Won 1 Oscar. Another 52 wins & 106 nominations.,https://m.media-amazon.com/images/M/MV5BOTg0Nzc1NjA0MV5BMl5BanBnXkFtZTgwNTcyNDQ0MDI@._V1_SX300.jpg,72,94,79,75932,tt2671706,movie,14/03/2017,Paramount Pictures,http://www.fencesmovie.com/
783,783,Ferdinand,Fox,85321200,20424,85004200,11100000,9,2017,50,680,Ferdinand,NA,PG,15/12/2017,108 min,"Animation, Adventure, Comedy",Carlos Saldanha,"Robert L. Baird (screenplay by), Tim Federle (screenplay by), Brad Copeland (screenplay by), Ron Burch (screen story by), David Kidd (screen story by), Don Rhymer (screen story by), Munro Leaf (based upon the book ""The Story of Ferdinand"" by), Robert Lawson (based upon the book ""The Story of Ferdinand"" by: illustrations)","Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.","English, Spanish, German",USA,Nominated for 1 Oscar. Another 2 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BOTIwMDI0NjQ4OF5BMl5BanBnXkFtZTgwNjU0MzAyNDM@._V1_SX300.jpg,67,71,58,29747,tt3411444,movie,13/03/2018,Blue Sky Studio/20th Century Fox,N/A
784,784,Fidelio: Alice's Odyssey,FRun,3900,4,3800,         NA,6,2015,29,681,Fidelio: Alice's Odyssey,NA,N/A,24/12/2014,97 min,"Drama, Romance",Lucie Borleteau,"Lucie Borleteau (scenario), Clara Bourreau (scenario), Mathilde Boisseleau (collaboration)","Ariane Labed, Melvil Poupaud, Anders Danielsen Lie, Pascal Tagnati",Thirty-year-old Alice's occupation is rather unusual for a woman : she works as an engineer on a freighter. She loves her job and does it competently but even in a greasy blue overall a ...,"French, Romanian, English, Tagalog, Norwegian",France,6 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTYyODY4ODgwOF5BMl5BanBnXkFtZTgwMzY4MzQ5NjE@._V1_SX300.jpg,64,80,NA,616,tt3800010,movie,NA,First Run Features,http://firstrunfeatures.com/fidelio_playdates.html
785,785,Fifi Howls From Happiness,MBox,15700,5,15600,         NA,4,2014,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,786,Fifty Shades Darker,Uni.,120152900,15139,120000400,5500000,8,2017,6,683,Fifty Shades Darker,NA,R,10/02/2017,118 min,"Drama, Romance",James Foley,"Niall Leonard (screenplay by), E.L. James (based on the novel by)","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",English,"USA, China",3 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ5NTk0Njg2N15BMl5BanBnXkFtZTgwNzk5Nzk3MDI@._V1_SX300.jpg,46,10,33,73574,tt4465564,movie,9/05/2017,Universal Pictures,http://www.cinquentatonsfilmes.com.br/
787,787,Fifty Shades Freed,Uni.,101611800,16324,101539500,5500000,8,2018,6,684,Fifty Shades Freed,NA,R,9/02/2018,105 min,"Drama, Romance, Thriller",James Foley,"Niall Leonard (screenplay by), E.L. James (based on the novel by)","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYxOTQ1MzI0Nl5BMl5BanBnXkFtZTgwMzgwMzIxNDM@._V1_SX300.jpg,44,13,31,33197,tt4477536,movie,8/05/2018,Universal Pictures,http://www.fiftyshadesmovie.com/
788,788,Fifty Shades of Black,ORF,12626700,5199,12626800,         NA,8,2016,5,685,Fifty Shades of Black,NA,R,29/01/2016,92 min,Comedy,Michael Tiddes,"Marlon Wayans, Rick Alvarez","Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps",An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,English,USA,2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ3MTg3MzY4OV5BMl5BanBnXkFtZTgwNTI4MzM1NzE@._V1_SX300.jpg,35,7,28,15676,tt4667094,movie,19/04/2016,Open Road Films,http://50shadesofblackmovie.com/
789,789,Fifty Shades of Grey,Uni.,189586500,17739,187692600,4000000,9,2015,7,686,Fifty Shades of Grey,NA,R,13/02/2015,125 min,"Drama, Romance, Thriller",Sam Taylor-Johnson,"Kelly Marcel (screenplay by), E.L. James (novel)","Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",English,USA,Nominated for 1 Oscar. Another 9 wins & 26 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1MTM4NDAzOF5BMl5BanBnXkFtZTgwNTMwNjI0MzE@._V1_SX300.jpg,41,25,46,266083,tt2322441,movie,8/05/2015,Focus Features,http://www.fiftyshadesmovie.com/
790,790,Film Stars Don't Die in Liverpool,SPC,1035000,599,1014100,         NA,9,2017,52,687,Film Stars Don't Die in Liverpool,NA,R,16/11/2017,105 min,"Biography, Drama, Romance",Paul McGuigan,"Matt Greenhalgh (screenplay), Peter Turner (based on the memoir by)","Annette Bening, Jamie Bell, Kenneth Cranham, Julie Walters",A romance sparks between a young actor and a Hollywood leading lady.,English,UK,Nominated for 3 BAFTA Film Awards. Another 2 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTE0MDQxODg2NTJeQTJeQWpwZ15BbWU4MDIwODkyMjQz._V1_SX300.jpg,67,80,65,4156,tt5711148,movie,24/04/2018,Sony Pictures Classics,http://sonyclassics.com/filmstarsdontdieinliverpool/
791,791,Filmworker,KL,96900,68,96900,         NA,9,2018,19,688,Filmworker,NA,N/A,3/10/2017,94 min,Documentary,Tony Zierra,N/A,"Leon Vitali, Ryan O'Neal, Danny Lloyd, Matthew Modine","It's a rare person who would give up fame and fortune to toil in obscurity for someone else's creative vision. Yet, that's exactly what Leon Vitali did after his acclaimed performance as '...",English,USA,1 nomination.,https://ia.media-imdb.com/images/M/MV5BNTgwNzIxNmUtMTZiMi00MzJlLTk4ZmQtY2E0YjRmMWNkOTlhXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,77,95,73,157,tt6851066,movie,NA,Kino Lorber,http://filmworker.com/
792,792,Filth,Magn.,5700,9,39500,         NA,8,2014,26,689,Filth,NA,R,24/04/2014,97 min,"Comedy, Crime, Drama",Jon S. Baird,"Jon S. Baird, Irvine Welsh (based on the novel by)","James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots","A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own inner demons.",English,"UK, Germany, Sweden, Belgium, USA",9 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMjE2NTgyMzM0NV5BMl5BanBnXkFtZTgwNzkwNDE1MzE@._V1_SX300.jpg,71,63,56,88816,tt1450321,movie,12/08/2014,Magnet Releasing,http://www.facebook.com/Filththefilm
793,793,Final Portrait,SPC,457500,330,456600,         NA,9,2018,12,690,Final Portrait,NA,R,23/03/2018,90 min,"Biography, Comedy, Drama",Stanley Tucci,"James Lord (adapted from his memoir ""A Giacometti Portrait""), Stanley Tucci","Geoffrey Rush, Armie Hammer, Tony Shalhoub, Clémence Poésy",The story of Swiss painter and sculptor Alberto Giacometti.,"English, French, Italian",UK,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjM0Nzk3NDE5OF5BMl5BanBnXkFtZTgwNjQyODA5NDM@._V1_SX300.jpg,63,74,70,2552,tt4494718,movie,31/07/2018,Sony Pictures Classics,http://sonyclassics.com/finalportrait/
794,794,Finders Keepers (2015),Orch.,37700,64,37600,         NA,5,2015,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,795,Finding Dory,BV,520585700,31530,527493600,         NA,9,2016,25,691,Finding Dory,NA,PG,17/06/2016,97 min,"Animation, Adventure, Comedy","Andrew Stanton, Angus MacLane(co-director)","Andrew Stanton (original story by), Andrew Stanton (screenplay by), Victoria Strouse (screenplay by), Bob Peterson (additional screenplay material by), Angus MacLane (additional story material by)","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson","The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","English, Indonesian",USA,Nominated for 1 BAFTA Film Award. Another 15 wins & 42 nominations.,https://m.media-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SX300.jpg,73,94,77,195315,tt2277860,movie,15/11/2016,Walt Disney Pictures/PIXAR,http://movies.disney.com/finding-dory
796,796,Finding Fanny,FIP,706400,121,706400,         NA,1,2014,37,692,Finding Fanny,NA,N/A,12/09/2014,102 min,"Adventure, Comedy, Drama",Homi Adajania,"Homi Adajania, Kersi Khambatta","Deepika Padukone, Naseeruddin Shah, Basilo Dias, Kevin D'Mello",A man embarks on a road trip to find his lost love.,"English, Hindi, Konkani",India,2 wins & 28 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1Nzk2Mjk2OF5BMl5BanBnXkFtZTgwMTE5NTYxMjE@._V1_SX300.jpg,58,73,NA,5500,tt3142688,movie,NA,Fox International,http://www.facebook.com/foxstarhindi
797,797,Finding Fela,KL,138400,68,138000,         NA,9,2014,31,NA,NA,NA,NOT RATED,11/06/2015,119 min,"Documentary, Biography, History",Alex Gibney,N/A,"Fela Kuti, Yeni Kuti, Femi Kuti, Seun Kuti",A look at the life and music of Nigerian singer Fela Kuti.,English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1ODM4MDk0MV5BMl5BanBnXkFtZTgwMzQ2NDgyMjE@._V1_SX300.jpg,71,58,64,544,tt2194328,movie,12/01/2015,Kino Lorber,http://findingfela.com/
798,798,Finding Happiness,Gathr,1800,2,1800,         NA,3,2018,14,694,Finding Happiness,NA,N/A,1/02/2014,96 min,Documentary,Ted Nicolaou,Swami Kriyananda,"Elisabeth Röhm, Jyotish Novak, Romina Caruana, Anandi Cornell",Finding Happiness is a film that captures a joyful reality. With a unique story directly from the heart and soul of each person who has lived it. Told through the eyes of a New York ...,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MjAyNjY3MV5BMl5BanBnXkFtZTgwOTcxNTUyMTE@._V1_SX300.jpg,78,NA,NA,75,tt3044972,movie,NA,VSC,http://www.findinghappinessmovie.com/
799,799,Finding Oscar,FR,23800,26,23900,         NA,5,2017,15,695,Finding Oscar,NA,N/A,14/04/2017,100 min,"Documentary, Crime, Drama",Ryan Suffern,"Mark Monroe, Ryan Suffern","Kate Doyle, Scott Greathead, Fredy Peccerelli, Sebastian Rotella",FINDING OSCAR is a feature length documentary about the search for justice in the devastating case of the Dos Erres massacre in Guatemala. That search leads to the trail of two little boys ...,"English, Spanish","Canada, Guatemala, USA",6 wins.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyMzY2MzQ1MV5BMl5BanBnXkFtZTgwMzkyMDk2MTI@._V1_SX300.jpg,79,92,72,30,tt5719232,movie,NA,FilmRise,N/A
800,800,Finding Vivian Maier,IFC,67100,49,1728900,         NA,19,2014,26,696,Finding Vivian Maier,NA,NOT RATED,17/04/2014,83 min,"Documentary, Biography, Mystery","John Maloof, Charlie Siskel","John Maloof, Charlie Siskel","Vivian Maier, John Maloof, Daniel Arnaud, Simon Amédé","A documentary on the late Vivian Maier, a nanny whose previously unknown cache of 100,000 photographs earned her a posthumous reputation as one of the most accomplished street photographers.","English, French",USA,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,https://m.media-amazon.com/images/M/MV5BMTcyODk4NzU5OV5BMl5BanBnXkFtZTgwMjE4OTk2MDE@._V1_SX300.jpg,77,95,75,11294,tt2714900,movie,29/07/2014,IFC Films,http://www.findingvivianmaier.com/
801,801,Finding Your Feet,RAtt.,1402000,846,1402000,         NA,9,2018,13,697,Finding Your Feet,NA,PG-13,30/03/2018,111 min,"Comedy, Drama, Romance",Richard Loncraine,"Meg Leonard, Nick Moorcroft","Imelda Staunton, Celia Imrie, Timothy Spall, Joanna Lumley","On the eve of retirement a middle class, judgmental snob discovers her husband has been having an affair with her best friend and is forced into exile with her bohemian sister who lives on an impoverished inner-city council estate.","English, French, Welsh",UK,1 win.,https://m.media-amazon.com/images/M/MV5BMTk1MzE5MDMxOF5BMl5BanBnXkFtZTgwODg5NjY4NDM@._V1_SX300.jpg,66,NA,53,2201,tt4538916,movie,NA,N/A,N/A
802,802,Fire at Sea,KL,69800,44,125300,         NA,9,2016,43,698,Fire at Sea,NA,N/A,18/02/2016,114 min,Documentary,Gianfranco Rosi,"Gianfranco Rosi, Carla Cattani (idea)","Samuele Pucillo, Mattias Cucina, Samuele Caruana, Pietro Bartolo","Capturing life on the Italian island of Lampedusa, a frontline in the European migrant crisis.","Italian, English","Italy, France",Nominated for 1 Oscar. Another 14 wins & 24 nominations.,https://ia.media-imdb.com/images/M/MV5BMTQ5MDYwNDU5OV5BMl5BanBnXkFtZTgwMDg0NTgyMDI@._V1_SX300.jpg,68,94,87,4478,tt3652526,movie,21/03/2017,21UNO FILM,N/A
803,803,Fireworks (2018),GK,519100,528,519100,         NA,2,2018,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,804,Fireworks Wednesday,Ghop,96800,31,96500,         NA,9,2016,12,699,Fireworks Wednesday,NA,NOT RATED,16/03/2016,102 min,"Drama, Mystery, Romance",Asghar Farhadi,"Asghar Farhadi, Mani Haghighi","Hamid Farokhnezhad, Hediyeh Tehrani, Taraneh Alidoosti, Pantea Bahram","On the last Wednesday before the spring solstice ushers in the Persian New Year, people set off fireworks following an ancient Zoroastrian tradition. Rouhi, spending her first day at a new job, finds herself in the midst of a different kind of fireworks -- a domestic dispute between her new boss and his wife.",Persian,Iran,7 wins & 8 nominations.,https://ia.media-imdb.com/images/M/MV5BMTU3MTIzNDA1MV5BMl5BanBnXkFtZTgwNzAwMDY2ODE@._V1_SX300.jpg,78,100,84,7374,tt0845439,movie,22/04/2008,Grasshopper Film,N/A
805,805,First Reformed,A24,3407900,1141,3407800,         NA,9,2018,20,700,First Reformed,NA,R,18/05/2018,113 min,"Drama, Thriller",Paul Schrader,Paul Schrader,"Amanda Seyfried, Ethan Hawke, Cedric the Entertainer, Michael Gaston","A priest of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZDI1MGIyZDMtYjAyMy00ZWE1LTgzYjctYzM5MzczNjFjZWQwXkEyXkFqcGdeQXVyODQyNzE3MDg@._V1_SX300.jpg,75,94,85,4835,tt6053438,movie,NA,A24,N/A
806,806,First We Take Brooklyn,ZP,39900,9,39800,         NA,2,2018,6,701,First We Take Brooklyn,NA,NOT RATED,19/02/2018,91 min,"Crime, Drama",Danny A. Abeckaser,"Jon Carlo, Danny A. Abeckaser","AnnaLynne McCord, Harvey Keitel, Kathrine Narducci, Charlotte McKinney","Serving a life sentence in one of Israel's toughest prisons, Mikki Levy never thought he'd ever see the light of day. But when's he's released early on a technicality, Mikki moves to New York hoping for a fresh start. Living with his uncle in Brooklyn, the harsh reality of life as an ex-con sets in and he gets dragged into a brutal turf war with the Russian mob, forcing him to revisit his dark ...",N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjIwOTYyNzk4OF5BMl5BanBnXkFtZTgwMDA1NzQ1NDM@._V1_SX300.jpg,38,NA,NA,254,tt5673714,movie,NA,N/A,N/A
