,Search,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
235,Bronx Gothic,Bronx Gothic,NA,N/A,12/07/2017,91 min,Documentary,Andrew Rossi,N/A,Okwui Okpokwasili,"From director Andrew Rossi (Page One: Inside the New York Times, The First Monday in May) comes an electrifying portrait of writer and performer Okwui Okpokwasili and her acclaimed ...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYzhiODM5NDUtNmE4MC00ODA0LTk0NWUtNzE1YWQxNWJhNDhiXkEyXkFqcGdeQXVyMTEwMzg1NQ@@._V1_SX300.jpg,67,44,66,20,tt6709826,movie,NA,Abstract Media,N/A
236,Brooklyn,Brooklyn,NA,PG-13,25/11/2015,117 min,"Drama, Romance",John Crowley,"Nick Hornby, Colm Tóibín (novel)","Saoirse Ronan, Hugh Gormley, Brid Brennan, Maeve McGrath","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","English, Latin, Irish","UK, Canada, Ireland, Belgium, USA",Nominated for 3 Oscars. Another 37 wins & 152 nominations.,https://m.media-amazon.com/images/M/MV5BMzE4MDk5NzEyOV5BMl5BanBnXkFtZTgwNDM4NDA3NjE@._V1_SX300.jpg,75,97,87,109297,tt2381111,movie,15/03/2016,Fox Searchlight Pictures,http://www.brooklyn-themovie.com
237,Brotherly Love,Brotherly Love,NA,R,24/04/2015,89 min,Drama,Jamal Hill,Jamal Hill,"Keke Palmer, Cory Hardrict, Romeo Miller, Eric D. Hill Jr.","Set on the backdrop of Philadelphia's famed Overbrook High School, we track the lives of the nations number one high school basketball player Sergio Taylor as he deals with the early pressures of hood fame.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMTY3MTEyMzA0OF5BMl5BanBnXkFtZTgwMDk1NzA0NDE@._V1_SX300.jpg,67,NA,NA,1387,tt3262990,movie,NA,Freestyle Releasing,http://brotherlylovethemovie.com/
238,Buddies in India,Buddies in India,NA,UNRATED,27/01/2017,99 min,"Action, Comedy",Baoqiang Wang,Baoqiang Wang,"Baoqiang Wang, Yan Liu, Bai-Ke, Vikramjeet Virk","In an effort to save his house, a man accompanies the son of a recently deceased CEO to India to recover his will.","Mandarin, English","China, India",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMmVlNGZmNmUtYWY0Yi00MmQ2LWFlMzQtNWUxZjM3M2M2ZDEyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg,37,NA,NA,172,tt6152908,movie,NA,China Lion Film Distribution,http://www.ChinaLionFilm.com
239,"Buen Dia, Ramon","Buen Día, Ramón",NA,PG-13,21/08/2014,120 min,Drama,Jorge Ramírez Suárez,Jorge Ramírez Suárez,"Kristyan Ferrer, Ingeborg Schöner, Adriana Barraza, Arcelia Ramírez","Ramon, a young Mexican boy, tries to cross the border for the fifth time but fails. His friend tells him about his aunt living in Germany and that she has a better life over there. Ramon then goes to Germany to find his friend's aunt.","German, Spanish","Mexico, Germany",7 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMTgyMzg3Nl5BMl5BanBnXkFtZTgwNjA2MDU2MjE@._V1_SX300.jpg,76,100,NA,2337,tt2876428,movie,NA,20th Century Fox,N/A
240,Buena Vista Social Club: Adios,Buena Vista Social Club: Adios,NA,PG,26/05/2017,110 min,Documentary,Lucy Walker,N/A,"Ibrahim Ferrer, Omara Portuondo, Eliades Ochoa, Barbarito Torres",Revisit with the remaining original members of the Buena Vista Social Club and explore their contribution to the unknown history of Cuba.,"English, Spanish","Cuba, USA",N/A,https://ia.media-imdb.com/images/M/MV5BMjM0ODE5NDc2NF5BMl5BanBnXkFtZTgwODYyNDExMjI@._V1_SX300.jpg,66,70,67,164,tt4653272,movie,12/09/2017,Broad Green Pictures,N/A
241,Burden,Burden,NA,N/A,21/01/2018,129 min,Drama,Andrew Heckler,Andrew Heckler,"Forest Whitaker, Andrea Riseborough, Garrett Hedlund, Tom Wilkinson","Klu Klux Klansman Mike Burden opens the Redneck Shop and KKK museum in historic Laurens, SC. He subsequently falls in love with a single mom, and, under her influence, quits the Klan and is taken in by an African American Reverend.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjA5MTMwMDQyN15BMl5BanBnXkFtZTgwNzU4MzgyNDM@._V1_SX300.jpg,64,97,63,159,tt5314450,movie,5/05/2017,Magnolia Pictures,http://www.magpictures.com/burden/
242,Burning Bodhi,Burning Bodhi,NA,R,11/03/2016,93 min,Drama,Matthew McDuffie,Matthew McDuffie,"Kaley Cuoco, Virginia Madsen, Sasha Pieterse, Cody Horn","The death of one of their own reunites a group of lifelong friends who have gone their separate ways. Back together for the first time since high school, they hash out their pasts and confront what pulled them apart.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI2ODgwMjM0MF5BMl5BanBnXkFtZTgwOTU3MzQwODE@._V1_SX300.jpg,48,NA,NA,353,tt3770426,movie,26/04/2016,N/A,N/A
243,Burnt,Burnt,NA,R,30/10/2015,101 min,"Comedy, Drama",John Wells,"Steven Knight (screenplay), Michael Kalesniko (story)","Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio","Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.","English, French, Italian",USA,6 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNjEzNTk2OTEwNF5BMl5BanBnXkFtZTgwNzExMTg0NjE@._V1_SX300.jpg,66,29,42,88562,tt2503944,movie,26/01/2016,The Weinstein Company,http://www.facebook.com/BurntFilm
244,Busco Novio Para Mi Mujer,Busco novio para mi mujer,NA,PG-13,19/02/2016,92 min,Comedy,Enrique Begné,"Enrique Begné (adaptation), Leticia López Margalli (adaptation), Gabriel Ripstein (adaptation), Pablo Solarz","Sandra Echeverría, Arath de la Torre, Jesús Ochoa, Mónica Huarte","Paco, so fed up with his nagging and nitpicking wife, comes up with an ingenious plan to end the unhappy union: Find her a boyfriend by hiring a professional seducer nicknamed ""El Taiger"" to whisk her off her feet and out of the marriage.",Spanish,Mexico,N/A,https://ia.media-imdb.com/images/M/MV5BMTUzNTMxNTA5MV5BMl5BanBnXkFtZTgwOTg0NTg2NzE@._V1_SX300.jpg,55,78,NA,353,tt5321942,movie,7/06/2016,Azucar Films,N/A
245,Buster's Mal Heart,Buster's Mal Heart,NA,UNRATED,23/05/2017,96 min,"Drama, Mystery, Thriller",Sarah Adina Smith,Sarah Adina Smith,"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter",A family man's chance encounter with a conspiracy-obsessed drifter leaves him on the run from the police and an impending event known as The Inversion.,English,USA,3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYmEyNjhmYzYtNmI3OC00MWY4LTkxYzItZDljYmQxMjg0MWFmXkEyXkFqcGdeQXVyMTk0NTY2ODQ@._V1_SX300.jpg,60,71,63,3768,tt5173032,movie,18/07/2017,Well Go USA Entertainment,http://www.bustersmalheart.com/
246,But Deliver Us from Evil,But Deliver Us from Evil,NA,NOT RATED,27/04/2017,109 min,"Horror, Thriller",Joshua Coates,Joshua Coates,"Eric Roberts, Grant Harvey, Pooch Hall, Torrei Hart","A demon (Succubus) wreaks havoc on a U.S city. Lilith, Adams first wife according to Jewish mysticism seeks revenge against all of God's creation. God expelled Lilith from the Garden of Eden because of her refusal to obey Adam, the man. Scorned she returns present day with a vengeance against man and his offspring.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYjhkMzRkNjQtZjI4OS00Njk5LTljZTEtY2Y0MmJhYjI3NmMzXkEyXkFqcGdeQXVyMjAwNDU5OTE@._V1_SX300.jpg,72,NA,NA,15,tt4134826,movie,NA,N/A,N/A
247,Buzzard,Buzzard,NA,NOT RATED,6/03/2015,97 min,"Comedy, Drama, Horror",Joel Potrykus,Joel Potrykus,"Joshua Burge, Joel Potrykus, Teri Ann Nelson, Jason Roth","Paranoia forces small-time scam artist Marty to flee his hometown and hide out in a dangerous Detroit. With nothing but a pocket full of bogus checks, his Power Glove, and a bad temper, the horror metal slacker lashes out.",English,USA,4 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MDA5NjUxN15BMl5BanBnXkFtZTgwNjAwMDg5MzE@._V1_SX300.jpg,64,86,77,1412,tt2656588,movie,NA,Oscilloscope Pictures,http://www.buzzardfilm.com/
248,Bye Bye Germany,Bye Bye Germany,NA,N/A,1/03/2018,102 min,"Comedy, Drama, War",Sam Garbarski,"Michel Bergmann (screenplay), Sam Garbarski (collaboration on screenplay), Michel Bergmann (novels)","Moritz Bleibtreu, Antje Traue, Tim Seyfi, Mark Ivanir","David Berman and his friends, all Holocaust survivors, have only one purpose: to go to America as soon as possible. For this they need money. Close to his aim, David is not only deprived of his savings but also overtaken by his shady past.","German, English","Germany, Luxembourg, Belgium",1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BYzRiMjBjMzctOGRlNy00NjhhLWJmMTYtNjcwZWM4YWMwOTNlXkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_SX300.jpg,65,NA,NA,439,tt5609734,movie,NA,N/A,N/A
249,C'Est Si Bon,C'est Si Bon,NA,N/A,13/02/2015,122 min,"Drama, Romance",Hyun-seok Kim,Hyun-seok Kim,"Yun-seok Kim, Woo Jung, Hui-Ae Kim, Hyo-ju Han",Oh Geun-tae (JUNG Woo) is a country boy with a booming baritone who is discovered by aspiring singer-songwriter Lee Jang-hui (JIN Goo) and thrust into the bustling world of Seoul's iconic ...,Korean,South Korea,1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmE5ZWQzYTMtM2QzNi00MjM4LWI2ZjYtNzdiZDZkYTY0NDUzXkEyXkFqcGdeQXVyNTQ0NTUxOTA@._V1_SX300.jpg,70,NA,NA,240,tt4430992,movie,NA,CJ Entertainment,http://www.cj-entertainment.com/movies/150119-002/c-est-si-bon
250,Cafe Society,Cafe Society,NA,R,10/07/1996,107 min,"Drama, Mystery",Raymond De Felitta,Raymond De Felitta,"Frank Whaley, Peter Gallagher, Lara Flynn Boyle, John Spencer",A society playboy with a taste for the lowlife is set up for exploitation by an unscrupulous undercover cop and his shadowy political masters.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNGYyMTVmODctMzc2OC00NWEzLWE1NTgtMDlkNDg3ZGFkNWFiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,56,NA,NA,319,tt0112611,movie,20/01/1998,Cineville,N/A
251,Cage Fighter,Cage Fighter,NA,N/A,NA,N/A,"Documentary, Short","Daniel Quinones, Jesse Quinones",N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,tt2353869,movie,NA,N/A,N/A
252,Caged No More,Caged No More,NA,PG-13,22/01/2016,90 min,"Action, Drama, Thriller",Lisa Arnold,"Lisa Arnold, Molly Venzke (story), Molly Venzke","Kevin Sorbo, Cynthia Gibb, Madison De La Garza, Loretta Devine","Inspired by real events, CAGED NO MORE is the story of Aggie Prejean, a grandmother on a desperate search to find her two granddaughters, Skye and Elle, who have been kidnapped by their ...",English,"USA, Greece",1 win.,https://ia.media-imdb.com/images/M/MV5BNDI4MzA0MjUwOV5BMl5BanBnXkFtZTgwMDk5MzA1NzE@._V1_SX300.jpg,54,NA,NA,242,tt4104354,movie,7/06/2016,Check the Gate Productions,http://www.cagednomoremovie.com/
253,Cake,Cake,NA,R,23/01/2015,102 min,Drama,Daniel Barnz,Patrick Tobin (screenplay),"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington","Claire becomes fascinated by the suicide of a woman in her chronic pain support group while grappling with her own, very raw personal tragedy.","English, Spanish",USA,Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMmE2ZTQ5NTUtMzM2NS00YTIxLWEyMDQtMjBiMGNmODgwN2U5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,64,49,49,31804,tt3442006,movie,21/04/2015,Cinelou Films,http://cakemovie.net/
254,Call Her Applebroog,Call Her Applebroog,NA,N/A,10/06/2016,70 min,Documentary,Beth B,N/A,Ida Applebroog,N/A,English,USA,N/A,http://ia.media-imdb.com/images/M/MV5BMTY1MjgwMTQyMl5BMl5BanBnXkFtZTgwNjQ4NTk1ODE@._V1_SX300.jpg,NA,NA,NA,NA,tt5615222,movie,NA,N/A,N/A
255,Call Me by Your Name,Call Me by Your Name,NA,R,19/01/2018,132 min,"Drama, Romance",Luca Guadagnino,"James Ivory (screenplay by), André Aciman (based on the novel by)","Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar","In 1980s Italy, a romance blossoms between a seventeen year-old student and the older man hired as his father's research assistant.","English, Italian, French, German, Hebrew","Italy, France, Brazil, USA",Won 1 Oscar. Another 82 wins & 196 nominations.,https://m.media-amazon.com/images/M/MV5BNDk3NTEwNjc0MV5BMl5BanBnXkFtZTgwNzYxNTMwMzI@._V1_SX300.jpg,80,95,93,116526,tt5726616,movie,13/03/2018,Sony Pictures Classics,N/A
256,Can't Stand Losing You: Surviving the Police,Can't Stand Losing You: Surviving the Police,NA,NOT RATED,23/11/2013,79 min,"Documentary, Biography, History","Andy Grieve, Lauren Lazin",N/A,"Stewart Copeland, Sting, Andy Summers",A documentary about the rise of The Police.,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNTU1MzkzMV5BMl5BanBnXkFtZTgwMTE4MzE2NDE@._V1_SX300.jpg,68,35,33,316,tt1610013,movie,14/07/2015,Cinema Libre Studio,http://www.cantstandlosingyou.com
257,Captain America: Civil War,Captain America: Civil War,NA,PG-13,6/05/2016,147 min,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.,"English, German, Xhosa, Russian, Romanian, Hindi","USA, Germany",16 wins & 65 nominations.,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,78,91,75,513024,tt3498820,movie,13/09/2016,Walt Disney Pictures,http://marvel.com/captainamerica#/home
258,Captain Fantastic,Captain Fantastic,NA,R,29/07/2016,118 min,"Comedy, Drama",Matt Ross,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","English, Esperanto",USA,Nominated for 1 Oscar. Another 14 wins & 42 nominations.,https://m.media-amazon.com/images/M/MV5BMjE5OTM0OTY5NF5BMl5BanBnXkFtZTgwMDcxOTQ3ODE@._V1_SX300.jpg,79,83,72,140642,tt3553976,movie,25/10/2016,Electric City Entertainment,http://www.bleeckerstreetmedia.com/captainfantastic
259,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,NA,PG,2/06/2017,89 min,"Animation, Action, Comedy",David Soren,"Nicholas Stoller (screenplay by), Dav Pilkey (based on the epic novels by), David Soren (additional screenplay material by)","Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch","2 overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",English,"USA, Canada, France, UK, India",1 win & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1MzM2NzgzNV5BMl5BanBnXkFtZTgwODU3NTI0MTI@._V1_SX300.jpg,62,86,69,19321,tt2091256,movie,12/09/2017,20th Century Fox,http://www.dreamworks.com/captainunderpants/
260,Carol,Carol,NA,R,15/01/2016,118 min,"Drama, Romance",Todd Haynes,"Phyllis Nagy (screenplay), Patricia Highsmith (novel)","Cate Blanchett, Rooney Mara, Kyle Chandler, Sarah Paulson",An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,English,"UK, USA",Nominated for 6 Oscars. Another 75 wins & 238 nominations.,https://m.media-amazon.com/images/M/MV5BMTczNTQ4OTEyNV5BMl5BanBnXkFtZTgwNDgyMDI3NjE@._V1_SX300.jpg,72,95,95,90826,tt2402927,movie,15/03/2016,The Weinstein Company,https://www.facebook.com/weinsteinco
261,Carrie Pilby,Carrie Pilby,NA,NOT RATED,4/04/2017,98 min,"Comedy, Drama",Susan Johnson,"Kara Holden (screenplay by), Caren Lissner (based on the novel by)","Bel Powley, Nathan Lane, Gabriel Byrne, Vanessa Bayer","A person of high intelligence struggles to make sense of the world as it relates to morality, relationships, sex and leaving her apartment.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjMxMTQ2ODgwMF5BMl5BanBnXkFtZTgwNjQyODY2MTI@._V1_SX300.jpg,66,61,52,4338,tt2989524,movie,4/04/2017,Braveart Films,N/A
262,Cars 3,Cars 3,NA,G,16/06/2017,102 min,"Animation, Adventure, Comedy",Brian Fee,"Brian Fee (original story by), Ben Queen (original story by), Eyal Podell (original story by), Jonathon E. Stewart (original story by), Kiel Murray (screenplay by), Bob Peterson (screenplay by), Mike Rich (screenplay by), Scott Morse (additional story material)","Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,English,USA,20 nominations.,https://m.media-amazon.com/images/M/MV5BMTc0NzU2OTYyN15BMl5BanBnXkFtZTgwMTkwOTg2MTI@._V1_SX300.jpg,68,68,59,48142,tt3606752,movie,7/11/2017,Walt Disney Pictures,http://movies.disney.com/cars-3
263,Cartel Land,Cartel Land,NA,R,3/07/2015,100 min,Documentary,Matthew Heineman,N/A,"Tim Nailer Foley, José Manuel 'El Doctor' Mireles, Paco Valencia, Chaneque",Filmmaker Matthew Heineman examines the state of the ongoing drug problem along the U.S.-Mexican border.,"English, Spanish",USA,Nominated for 1 Oscar. Another 18 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1MzI2MzcxOV5BMl5BanBnXkFtZTgwNTE2Mjk4NTE@._V1_SX300.jpg,74,89,76,15851,tt4126304,movie,29/03/2016,The Orchard,http://cartellandmovie.com/
264,Catching the Sun,Catching the Sun,NA,NOT RATED,1/04/2016,75 min,"Documentary, Drama, History",Shalini Kantayya,Shalini Kantayya,N/A,"An unemployed American worker, a Tea Party activist, and a Chinese solar entrepreneur race to lead the clean energy future. But who wins and who loses the battle for power in the 21st century?",English,"China, Germany, India, USA",1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BM2Y3NDFjYjctNGMyNC00NDU3LWEyMTgtMDlkMTU4YWI4MjgyXkEyXkFqcGdeQXVyMjI5MjUyNDk@._V1_SX300.jpg,72,NA,NA,400,tt1698654,movie,NA,N/A,N/A
265,Cemetery of Splendor,Cemetery of Splendor,NA,UNRATED,2/09/2015,122 min,"Drama, Fantasy",Apichatpong Weerasethakul,Apichatpong Weerasethakul,"Jenjira Pongpas, Banlop Lomnoi, Jarinpattra Rueangram, Petcharat Chaiburi",A group of soldiers in a small town on the Mekong River in northern Thailand are struck with a bizarre sleeping illness.,"Thai, English","Thailand, UK, Germany, France, Malaysia, South Korea, Mexico, USA, Norway",6 wins & 15 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NzUzNDIzNV5BMl5BanBnXkFtZTgwMjIyMjg3NzE@._V1_SX300.jpg,68,NA,NA,3154,tt2818654,movie,NA,N/A,N/A
266,Censored Voices,Censored Voices,NA,N/A,4/06/2015,84 min,"Documentary, History",Mor Loushy,"Mor Loushy, Daniel Sivan, Ran Tal, Avraham Shapira (book)",Amos Oz,"The 1967 'Six-Day' war ended with Israel's decisive victory; conquering Jerusalem, Gaza, Sinai and the West Bank. It is a war portrayed, to this day, as a righteous undertaking - a radiant ...","Hebrew, English","Israel, Germany",3 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MDc0MDA0OV5BMl5BanBnXkFtZTgwMzU0NTMyOTE@._V1_SX300.jpg,73,93,72,248,tt3457376,movie,NA,N/A,N/A
267,Central Intelligence,Central Intelligence,NA,PG-13,17/06/2016,107 min,"Action, Comedy, Crime",Rawson Marshall Thurber,"Ike Barinholtz (screenplay), David Stassen (screenplay), Rawson Marshall Thurber (screenplay), Ike Barinholtz (story), David Stassen (story)","Dwayne Johnson, Kevin Hart, Amy Ryan, Danielle Nicolet","After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",English,"USA, China",2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMjA2NzEzNjIwNl5BMl5BanBnXkFtZTgwNzgwMTEzNzE@._V1_SX300.jpg,63,70,52,123849,tt1489889,movie,27/09/2016,Warner Bros. Pictures,http://www.centralintelligencemovie.com/
268,Cezanne et moi,Cezanne et Moi,NA,R,31/03/2017,117 min,"Biography, Drama",Danièle Thompson,Danièle Thompson (scenario),"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François",A historical drama traces the lifelong friendship between two renowned 19th century French artists - painter Paul Cézanne (Guillaume Gallienne) and writer Emile Zola (Guillaume Canet) - ...,French,"Belgium, France",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYzFmMzM4MWItOTBjYi00ZGUyLTg1N2MtMjUwYTU4NTBmMTkzXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,59,62,54,577,tt5078354,movie,NA,G Films,http://www.magpictures.com/cezanneetmoi/home/
269,Champion,Champion,NA,APPROVED,20/05/1949,99 min,"Drama, Film-Noir, Sport",Mark Robson,"Carl Foreman (screenplay), Ring Lardner (story ""Champion"")","Kirk Douglas, Marilyn Maxwell, Arthur Kennedy, Paul Stewart",Boxer Midge Kelly rises to fame...mainly by stepping on other people.,English,USA,Won 1 Oscar. Another 1 win & 9 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzk0OGNhM2YtYWUxZS00YmFhLTk5ODMtMDdlNTQ4ZWY2OTYzL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,74,92,NA,2965,tt0041239,movie,22/04/2013,United Artists,N/A
270,Chappaquiddick,Chappaquiddick,NA,PG-13,6/04/2018,106 min,"Drama, History, Thriller",John Curran,"Taylor Allen, Andrew Logan","Jason Clarke, Ed Helms, Jim Gaffigan, Kate Mara","Depicting Ted Kennedy's involvement in the fatal 1969 car accident that claims the life of a young campaign strategist, Mary Jo Kopechne.",English,"Sweden, USA",1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU1ODM2Nzk1OV5BMl5BanBnXkFtZTgwMzA4MTc5NDM@._V1_SX300.jpg,66,80,67,3624,tt5270948,movie,10/07/2018,Entertainment Studios Motion Pictures,N/A
271,Chappie,Chappie,NA,R,6/03/2015,120 min,"Action, Crime, Drama",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Dev Patel, Ninja, Yo-Landi Visser","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",English,"South Africa, USA",3 nominations.,https://m.media-amazon.com/images/M/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_SX300.jpg,68,32,41,205624,tt1823672,movie,16/06/2015,Sony Pictures,http://www.chappie-movie.com/
272,Chapter & Verse,Chapter & Verse,NA,R,3/02/2017,97 min,Drama,Jamal Joseph,"Daniel Beaty, Daniel Beaty, Jamal Joseph","Daniel Beaty, Loretta Devine, Omari Hardwick, Selenis Leyva","Upon his return from serving a ten-year sentence in prison, reformed gang leader, S. Lance Ingram, struggles to adapt to a changed Harlem. Unable to use the technological skills he acquired...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZTI2ZTU0MTEtODU0ZS00ZTBiLTk0ZjUtYjJjYWRkNzAxY2JiL2ltYWdlXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,76,85,70,42,tt3946960,movie,NA,Harlem Film Company,http://chapterandversethefilm.com/
273,Charged,Charged,NA,N/A,20/04/2013,2 min,"Animation, Short",Nathaniel Winckler,"Phillip Jackson (story), Jeremy White (story), Becky Winckler (story), Nathaniel Winckler (story), Nathaniel Winckler",Oliver Sutherland,A young bee comes to the aid of his energetic friend in a time of crisis.,English,USA,N/A,N/A,NA,NA,NA,NA,tt2865406,movie,NA,Independent Pictures,http://www.chargemovie.com/index.html
274,Charlie's Country,Charlie's Country,NA,NOT RATED,17/07/2014,108 min,Drama,Rolf de Heer,"David Gulpilil, Rolf de Heer","David Gulpilil, Peter Djigirr, Luke Ford, Wayne Anthoney","Displeased with the intervention of whitefella laws, Charlie takes off to live the old way and sets off a chain reaction of enlightening difficulties.","Aboriginal, English",Australia,12 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ4OTg3Mzc5Ml5BMl5BanBnXkFtZTgwNTQxNzk3MTE@._V1_SX300.jpg,72,94,75,1610,tt3244512,movie,NA,Monument Releasing,http://www.charliescountry.com/
275,Chasing Trane: The John Coltrane Documentary,Chasing Trane: The John Coltrane Documentary,NA,NOT RATED,14/04/2017,99 min,"Documentary, Biography, Music",John Scheinfeld,John Scheinfeld,"Denzel Washington, Reggie Workman, Ravi Coltrane, Ashley Kahn","The film explores the global power and impact of the music of John Coltrane and reveals the passions, experiences and forces that shaped his life and revolutionary sounds.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYjNjYzg0NjUtMWNmYi00MDY3LTk5ZjMtZWE5ZTQ1MjE5NjAxXkEyXkFqcGdeQXVyMjU4MjYxMg@@._V1_SX300.jpg,73,NA,69,919,tt4287434,movie,NA,N/A,N/A
276,Chavela,Chavela,NA,UNRATED,4/10/2017,93 min,"Documentary, Biography, History","Catherine Gund(co-director), Daresha Kyi(co-director)",N/A,"Pedro Almodóvar, Elena Benarroch, Miguel Bosé, Liliana Felipe","The life of pioneering singer Chavela Vargas, from her birth in Costa Rica in 1919 to her death in Mexico in 2012.","English, Spanish","Mexico, Spain, USA",4 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjliNTE4NGMtOGY5Yy00Y2VmLTg5MjgtNWZkYjYzMTVjMzMwXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,78,94,68,214,tt6217664,movie,2/01/2018,Aubin Pictures,http://www.chavelavargasfilm.com/
277,Cheatin',Cheatin',NA,N/A,23/04/2014,76 min,"Animation, Comedy, Drama",Bill Plympton,Bill Plympton,"Sophia Takal, Jeremy Baumann, Alex Markowitz, Sita Steele","In a fateful bumper car collision, Jake and Ella meet and become the most loving couple in the long history of romance. But when a scheming ""other"" woman drives a wedge of jealousy into ...",English,USA,3 wins & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDE1NTAwNDgyOV5BMl5BanBnXkFtZTgwODgyMDM2NDE@._V1_SX300.jpg,71,86,74,645,tt2361846,movie,NA,Rialto Releasing,http://www.plymptoons.com/
